lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Antibolschewismus,,Antibolschewik,NN,10,0,1,,,,Bolschewismus
Neodarwinismus,,Neodarwinik,NN,23,0,1,,,,Darwinismus
Antifaschismus,,Antifaschik,NN,514,0,1,,,,Faschismus
Neofaschismus,,Neofaschik,NN,144,0,1,,,,Faschismus
Linksfaschismus,,linksfaschisch,ADJ.,10,0,1,,,,Faschismus
Nachfaschismus,,nachfaschisch,ADJ.,0,0,1,,,,Faschismus
Antifeminismus,,antifeminisch,ADJ.,38,0,1,,,,Feminismus
Antiglobalismus,,antiglobal,ADJ.,1,2,1,,,,Globalismus
Antiimperialismus,,antiimperial,ADJ.,83,1,1,,,,Imperialismus
Subimperialismus,,subimperial,ADJ.,0,0,1,,,,Imperialismus
Antiintellektualismus,,antiintellektuell,ADJ.,12,6,1,,,,Intellektualismus
Antiisraelismus,,Antiisraelik,NN,3,0,1,,,,Israelismus
Häppchenjournalismus,,Häppchenjournalik,NN,1,0,1,,,,Journalismus
Antijudaismus,,Antijudaik,NN,159,0,1,,,,Judaismus
Antikapitalismus,,antikapital,ADJ.,200,0,1,,,,Kapitalismus
Hyperkapitalismus,,Hyperkapitalik,NN,6,0,1,,,,Kapitalismus
Nichtkapitalismus,,Nichtkapitalik,NN,0,0,1,,,,Kapitalismus
Antiklerikalismus,,antiklerikal,ADJ.,9,66,1,,,,Klerikalismus
Antikolonialismus,,antikolonial,ADJ.,9,67,1,,,,Kolonialismus
Antikommunismus,,Antikommunik,NN,249,0,1,,,,Kommunismus
Urkommunismus,,Urkommunik,NN,5,0,1,,,,Kommunismus
Antikonformismus,,antikonform,ADJ.,0,0,1,,,,Konformismus
Metakonfuzianismus,,Metakonfuzianik,NN,0,0,1,,,,Konfuzianismus
Antiliberalismus,,antiliberal,ADJ.,6,44,1,,,,Liberalismus
Ordoliberalismus,,ordoliberal,ADJ.,32,0,1,,,,Liberalismus
Metamagnetismus,,Metamagnetik,NN,0,0,1,,Magnetik,NN,
Antimarxismus,,Antimarxik,NN,2,0,1,,,,Marxismus
Antimaterialismus,,antimaterial,ADJ.,1,0,1,,,,Materialismus
Preismechanismus,,preismechanisch,ADJ.,47,0,1,,,,Mechanismus
Federmechanismus,,Federmechanik,NN,28,10,1,,,,Mechanismus
Antimodernismus,,antimodern,ADJ.,17,31,1,,,,Modernismus
Antimonarchismus,,antimonarchisch,ADJ.,0,3,1,,,,Monarchismus
Protonationalismus,,protonational,ADJ.,1,2,1,,,,Nationalismus
Antinationalismus,,antinational,ADJ.,10,89,1,,,,Nationalismus
Antinaturalismus,,antinatural,ADJ.,2,1,1,,,,Naturalismus
Neonazismus,,Neonazik,NN,284,0,1,,,,Nazismus
Oekologismus,,oekologisch,ADJ.,0,0,1,,,,Ökologismus
Superorganismus,,superorganisch,ADJ.,12,0,1,,,,Organismus
Kleinorganismus,,kleinorganisch,ADJ.,6,0,1,,,,Organismus
Antiparlamentarismus,,Antiparlamentarik,NN,6,0,1,,,,Parlamentarismus
Panpsychismus,,Panpsychik,NN,13,0,1,,,,Psychismus
Altersrassismus,,Altersrassik,NN,2,0,1,,,,Rassismus
Antirassismus,,Antirassik,NN,141,0,1,,,,Rassismus
Antirealismus,,antireal,ADJ.,8,0,1,,,,Realismus
Antisexismus,,Antisexik,NN,23,0,1,,,,Sexismus
Nationalsozialismus,,nationalsozial,ADJ.,5361,6,1,,,,Sozialismus
Antiterrorismus,,Antiterrorik,NN,4,0,1,,,,Terrorismus
Antitheismus,,Antitheik,NN,0,0,1,,,,Theismus
Antitotalitarismus,,antitotalitär,ADJ.,13,27,1,,,,Totalitarismus
Binnentourismus,,Binnentourik,NN,3,0,1,,,,Tourismus
Biertourismus,,Biertourik,NN,1,0,1,,,,Tourismus
Skitourismus,,Skitourik,NN,13,0,1,,,,Tourismus
Antizionismus,,antizionisch,ADJ.,157,0,1,,,,Zionismus
Altruismus,,altruisch,ADJ.,260,0,1,,altruistisch,ADJ.,
Anachronismus,,anachronisch,ADJ.,304,0,1,,anachronistisch,ADJ.,
Animismus,,animisch,ADJ.,105,0,1,,animistisch,ADJ.,
Antagonismus,,antagonisch,ADJ.,240,0,1,,antagonistisch,ADJ.,
Dirigismus,,dirigisch,ADJ.,37,0,1,,dirigistisch,ADJ.,
Eskapismus,,eskapisch,ADJ.,66,0,1,,eskapistisch,ADJ.,
Euphemismus,,euphemisch,ADJ.,269,0,1,,euphemistisch,ADJ.,
Exorzismus,,exorzisch,ADJ.,245,0,1,,exorzistisch,ADJ.,
Exterminismus,,exterminisch,ADJ.,5,0,1,,exterministisch,ADJ.,
Feminismus,,feminisch,ADJ.,1255,0,1,,feministisch,ADJ.,
Hedonismus,,hedonisch,ADJ.,152,0,1,,hedonistisch,ADJ.,
Heterismus,,heterisch,ADJ.,0,0,1,,heteristisch,ADJ.,
Holismus,,holisch,ADJ.,38,3,1,,holistisch,ADJ.,
Indeterminismus,,indeterminisch,ADJ.,61,0,1,,indeterministisch,ADJ.,
Interaktionismus,,Interaktionik,NN,24,0,1,,Interaktion,ADJ.,
Interventionismus,,Interventionik,NN,66,0,1,,Intervention,ADJ.,
Katechismus,,katechisch,ADJ.,580,0,1,,katechetisch,ADJ.,
Konservatismus,,konservatisch,ADJ.,302,0,1,,konservativ,ADJ.,
Korporatismus,,korporatisch,ADJ.,36,0,1,,korporatistisch,ADJ.,
Laizismus,,laisch,ADJ.,154,0,1,,laizistisch,ADJ.,
Nepotismus,,nepotisch,ADJ.,44,0,1,,nepotistisch,ADJ.,
Pessimismus,,pessimisch,ADJ.,586,0,1,,pessimistisch,ADJ.,
Pointillismus,,pointillisch,ADJ.,16,0,1,,pointillistisch,ADJ.,
Polytheismus,,polytheisch,ADJ.,129,0,1,,polytheistisch,ADJ.,
Populismus,,populisch,ADJ.,679,0,1,,populistisch,ADJ.,
Sadismus,,sadisch,ADJ.,226,0,1,,sadistisch,ADJ.,
Sadomasochismus,,sadomasochisch,ADJ.,100,0,1,,sadomasochistisch,ADJ.,
Solipsismus,,solipsisch,ADJ.,104,0,1,,solipsistisch,ADJ.,
Sophismus,,sophisch,ADJ.,25,0,1,,sophistisch,ADJ.,
Syllogismus,,syllogisch,ADJ.,28,0,1,,syllogistisch,ADJ.,
Theismus,,theisch,ADJ.,119,0,1,,theistisch,ADJ.,
Verismus,,verisch,ADJ.,21,0,1,,veristisch,ADJ.,
Voyeurismus,,voyeurisch,ADJ.,223,1,1,,voyeuristisch,ADJ.,
Atavismus,,Atavik,NN,30,0,1,,Atav,N.,
Bonapartismus,,Bonapartik,NN,22,0,1,,Bonapart,N.,
Buddhismus,,Buddhik,NN,3151,0,1,,Buddha,N.,
Calvinismus,,Calvinik,NN,132,0,1,,Calvin,N.,
Chartismus,,Chartik,NN,26,0,1,,Chart,N.,
Chauvinismus,,Chauvinik,NN,224,0,1,,Chauvin,N.,
Dadaismus,,Dadaik,NN,138,0,1,,Dada,N.,
Darwinismus,,Darwinik,NN,207,0,1,,Darwin,N.,
Defaitismus,,Defaitik,NN,8,0,1,,Defait,N.,
Fauvismus,,Fauvik,NN,17,0,1,,Fauv,N.,
Fordismus,,Fordik,NN,110,0,1,,Ford,N.,
Gaullismus,,Gaullik,NN,2,0,1,,Gaul,N.,
Hinduismus,,Hinduik,NN,900,0,1,,Hindu,N.,
Leninismus,,Leninik,NN,126,0,1,,Lenin,N.,
Machiavellismus,,Machiavellik,NN,29,0,1,,Machiavelli,N.,
Maoismus,,Maoik,NN,36,0,1,,Mao,N.,
Marxismus,,Marxik,NN,1167,0,1,,Marx,N.,
Peronismus,,Peronik,NN,14,0,1,,Peron,N.,
Petrarkismus,,Petrarkik,NN,3,0,1,,Petrark,N.,
Pietismus,,Pietik,NN,217,0,1,,Piet,N.,
Platonismus,,Platonik,NN,74,0,1,,Platon,N.,
Satanismus,,Satanik,NN,380,0,1,,Satan,N.,
Spinozismus,,Spinozik,NN,11,0,1,,Spinoz,N.,
Stalinismus,,Stalinik,NN,494,0,1,,Stalin,N.,
Trotzkismus,,Trotzkik,NN,19,0,1,,Trotzki,N.,
Abolitionismus,,Abolitionik,NN,14,0,1,,Abolition,NN,
Aktionismus,,Aktionik,NN,827,0,1,,Aktion,NN,
Alarmismus,,Alarmik,NN,60,0,1,,Alarm,NN,
Alkoholismus,,Alkoholik,NN,780,166,1,,Alkohol,NN,
Aphorismus,,Aphorik,NN,662,0,1,,Aphor,NN,
Ästhetizismus,,ästhetizik,NN,52,0,1,,Ästhetik,NN,
Atheismus,,Atheik,NN,1065,0,1,,Atheistik,NN,
Autismus,,Autik,NN,896,0,1,,Autistik,NN,
Avantgardismus,,Avantgardik,NN,24,0,1,,Avantgarde,NN,
Behaviorismus,,Behaviorik,NN,95,0,1,,Behavior,NN,
Determinismus,,Determinik,NN,418,0,1,,Deterministik,NN,
Divisionismus,,Divisionik,NN,5,0,1,,Division,NN,
Dogmatismus,,Dogmatik,NN,217,488,1,,Dogma,NN,
Egoismus,,Egoik,NN,3185,0,1,,Ego,NN,
Equilibrismus,,Equilibrik,NN,8,0,1,,Equilibrium,NN,
Essayismus,,Essayik,NN,9,0,1,,Essay,NN,
Etatismus,,Etatik,NN,48,0,1,,Etat,NN,
Evolutionismus,,Evolutionik,NN,42,0,1,,Evolution,NN,
Exhibitionismus,,Exhibitionik,NN,121,0,1,,Exhibition,NN,
Expansionismus,,Expansionik,NN,27,0,1,,Expansion,NN,
Expressionismus,,Expressionik,NN,561,0,1,,Expression,NN,
Fetischismus,,Fetischik,NN,126,0,1,,Fetisch,NN,
Feuilletonismus,,Feuilletonik,NN,1,0,1,,Feuilleton,NN,
Folklorismus,,Folklorik,NN,7,0,1,,Folklore,NN,
Futurismus,,Futurik,NN,91,0,1,,Futur,NN,
Historizismus,,Historizik,NN,20,0,1,,Historik,NN,
Hooliganismus,,Hooliganik,NN,31,0,1,,Hooligan,NN,
Hyperaktionismus,,Hyperaktionik,NN,0,0,1,,Hyperaktion,NN,
Hyperandrogenismus,,Hyperandrogenik,NN,1,0,1,,Hyperandrogen,NN,
Hypogonadismus,,Hypogonadik,NN,89,0,1,,Hypogonad,NN,
Idiotismus,,Idiotik,NN,15,0,1,,Idiot,NN,
Illusionismus,,Illusionik,NN,24,0,1,,Illusion,NN,
Impressionismus,,Impressionik,NN,286,0,1,,Impression,NN,
Islamismus,,Islamik,NN,681,0,1,,Islam,NN,
Isolationismus,,Isolationik,NN,31,0,1,,Isolation,NN,
Jainismus,,Jainik,NN,103,0,1,,Jain,NN,
Jesuitismus,,Jesuitik,NN,9,0,1,,Jesuit,NN,
Journalismus,,Journalik,NN,3745,0,1,,Journal,NN,
Journalistismus,,Journalistik,NN,0,298,1,,Journalist,NN,
Kapitalismus,,Kapitalik,NN,8421,0,1,,Kapital,NN,
Klientelismus,,Klientelik,NN,42,0,1,,Klientel,NN,
Kommunismus,,Kommunik,NN,3365,19,1,,Kommune,NN,
Konstruktionismus,,Konstruktionik,NN,13,0,1,,Konstruktion,NN,
Konsumismus,,Konsumik,NN,60,0,1,,Konsum,NN,
Kreationismus,,Kreationik,NN,311,0,1,,Kreation,NN,
Kretinismus,,Kretinik,NN,44,0,1,,Kretin,NN,
Kritizismus,,Kritizik,NN,54,0,1,,Kritik,NN,
Lobbyismus,,Lobbyik,NN,631,0,1,,Lobby,NN,
Manierismus,,Manierik,NN,140,0,1,,Manier,NN,
Masochismus,,Masochik,NN,310,0,1,,Masochistik,NN,
Meteorismus,,Meteorik,NN,24,0,1,,Meteor,NN,
Militarismus,,Militarik,NN,465,0,1,,Militär,NN,
Monopolismus,,Monopolik,NN,12,0,1,,Monopol,NN,
Mystizismus,,Mystizik,NN,103,0,1,,Mystik,NN,
Naturismus,,Naturik,NN,16,0,1,,Natur,NN,
Nazismus,,Nazik,NN,174,0,1,,Nazi,NN,
Nihilismus,,Nihilik,NN,273,0,1,,Nihilistik,NN,
Paganismus,,Paganik,NN,15,0,1,,Pagan,NN,
Parasitismus,,Parasitik,NN,36,0,1,,Parasit,NN,
Pauperismus,,Pauperik,NN,35,0,1,,Pauper,NN,
Perfektionismus,,Perfektionik,NN,347,0,1,,Perfektion,NN,
Praktizismus,,Praktizik,NN,4,0,1,,Praktik,NN,
Protektionismus,,Protektionik,NN,239,0,1,,Protektion,NN,
Provinzialismus,,Provinzialik,NN,49,0,1,,Provinzial,NN,
Puritanismus,,Puritanik,NN,37,0,1,,Puritan,NN,
Quietismus,,Quietik,NN,14,0,1,,Quiet,NN,
Rassismus,,Rassik,NN,6023,0,1,,Rasse,NN,
Reaktionismus,,Reaktionik,NN,5,0,1,,Reaktion,NN,
Reduktionismus,,Reduktionik,NN,93,0,1,,Reduktion,NN,
Reformismus,,Reformik,NN,127,0,1,,Reform,NN,
Revanchismus,,Revanchik,NN,53,0,1,,Revanche,NN,
Rigorismus,,Rigorik,NN,54,0,1,,Rigor,NN,
Schintoismus,,Schintoik,NN,7,0,1,,Schinto,NN,
Sexismus,,Sexik,NN,781,1,1,,Sex,NN,
Shintoismus,,Shintoik,NN,39,0,1,,Shinto,NN,
Sikhismus,,Sikhik,NN,81,0,1,,Sikh,NN,
Simulationismus,,Simulationik,NN,0,0,1,,Simulation,NN,
Situationismus,,Situationik,NN,5,0,1,,Situation,NN,
Snobismus,,Snobik,NN,34,0,1,,Snob,NN,
Spiritismus,,Spiritik,NN,154,0,1,,Spirit,NN,
Sufismus,,Sufik,NN,146,0,1,,Sufi,NN,
Syndikalismus,,Syndikalik,NN,42,0,1,,Syndikat,NN,
Taoismus,,Taoik,NN,168,0,1,,Tao,NN,
Technizismus,,Technizik,NN,2,0,1,,Technik,NN,
Terrorismus,,Terrorik,NN,3654,0,1,,Terror,NN,
Tourismus,,Tourik,NN,9473,0,1,,Tour,NN,
Transvestismus,,Transvestik,NN,22,0,1,,Transvestit,NN,
Unionismus,,Unionik,NN,2,0,1,,Union,NN,
Universismus,,Universik,NN,6,0,1,,Univers,NN,
Vaginismus,,Vaginik,NN,30,0,1,,Vagina,NN,
Vampirismus,,Vampirik,NN,89,0,1,,Vampir,NN,
Vandalismus,,Vandalik,NN,965,0,1,,Vandal,NN,
Voluntarismus,,Voluntarik,NN,37,0,1,,Voluntar,NN,
Zionismus,,Zionik,NN,760,0,1,,Zion,NN,
Protestantismus,,protestantisch,ADJ.,900,2646,1,1.0,,,
Syndikalismus,,syndikal,ADJ.,42,0,1,,,,
